Journal Report 1 (R4)	Number of Successful Full-Text Article Requests by Month and Journal	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Max Planck Institute for the Science of Human History "	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Period covered by Report:	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014-01-01 to 2014-12-31	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Date run:	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2015-06-12	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2014	Feb-2014	Mar-2014	Apr-2014	May-2014	Jun-2014	Jul-2014	Aug-2014	Sep-2014	Oct-2014	Nov-2014	Dec-2014
Lebende Sprachen (les)	De Gruyter	De Gruyter Online	""	les	0023-9909	1868-0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Libri. International Journal of Libraries and Information Services (libr)	De Gruyter	De Gruyter Online	""	libr	0024-2667	1865-8423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linguistic Typology (lity)	De Gruyter	De Gruyter Online	""	lity	1430-0532	1613-415X	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Linguistics (ling)	De Gruyter	De Gruyter Online	""	ling	0024-3949	1613-396X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mammalia (mamm)	De Gruyter	De Gruyter Online	""	mamm	0025-1461	1864-1547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monatsschrift für Deutsches Recht (mdtr)	De Gruyter	De Gruyter Online	""	mdtr	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monte Carlo Methods and Applications (mcma)	De Gruyter	De Gruyter Online	""	mcma	0929-9629	1569-3961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Multilingua (mult)	De Gruyter	De Gruyter Online	""	mult	0167-8507	1613-3684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nachrichten aus der Chemie (nachrchem)	De Gruyter	De Gruyter Online	""	nachrchem	1439-9598	1868-0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nanophotonics (nanoph)	De Gruyter	De Gruyter Online	""	nanoph	2192-8606	2192-8614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nanotechnology Reviews (ntrev)	De Gruyter	De Gruyter Online	""	ntrev	2191-9089	2191-9097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neue Zeitschrift für Systematische Theologie und Religionsphilosphie (nzst)	De Gruyter	De Gruyter Online	""	nzst	0028-3517	1612-9520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nietzsche-Studien (niet)	De Gruyter	De Gruyter Online	""	niet	0342-1422	1613-0790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Photonics & Lasers in Medicine (plm)	De Gruyter	De Gruyter Online	""	plm	2193-0635	2193-0643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK - Praxis der Informationsverarbeitung und Kommunikation (piko)	De Gruyter	De Gruyter Online	""	piko	0930-5157	1865-8342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Praehistorische Zeitschrift (prhz)	De Gruyter	De Gruyter Online	""	prhz	0079-4848	1613-0804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Probus (prbs)	De Gruyter	De Gruyter Online	""	prbs	0921-4771	1613-4079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quellen und Forschungen aus italienischen Archiven und Bibliotheken (qfiab)	De Gruyter	De Gruyter Online	""	qfiab	0079-9068	1865-8865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Random Operators and Stochastic Equations (rose)	De Gruyter	De Gruyter Online	""	rose	0926-6364	1569-397X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Restaurator. International Journal for the Preservation of Library and Archival Material. (rest)	De Gruyter	De Gruyter Online	""	rest	0034-5806	1865-8431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Review of Law & Economics (rle)	De Gruyter	De Gruyter Online	""	rle	""	1555-5879	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Reviews in Analytical Chemistry (revac)	De Gruyter	De Gruyter Online	""	revac	0793-0135	2191-0189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reviews in Chemical Engineering (revce)	De Gruyter	De Gruyter Online	""	revce	0167-8299	2191-0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reviews in Inorganic Chemistry (revic)	De Gruyter	De Gruyter Online	""	revic	0193-4929	2191-0277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reviews in the Neurosciences (revneuro)	De Gruyter	De Gruyter Online	""	revneuro	0334-1763	1607-8470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romanische Bibliographie (romb)	De Gruyter	De Gruyter Online	""	romb	0080-388X	1865-9055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romanistisches Jahrbuch (roma)	De Gruyter	De Gruyter Online	""	roma	0080-3898	1613-0413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russian Journal of Numerical Analysis and Mathematical Modelling (rnam)	De Gruyter	De Gruyter Online	""	rnam	0927-6467	1569-3988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SATS (sats)	De Gruyter	De Gruyter Online	""	sats	1600-1974	1869-7577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Semiotica (semi)	De Gruyter	De Gruyter Online	""	semi	0037-1998	1613-3692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Studies in Nonlinear Dynamics & Econometrics (snde)	De Gruyter	De Gruyter Online	""	snde	""	1558-3708	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Text & Talk (text)	De Gruyter	De Gruyter Online	""	text	1860-7330	1860-7349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The African Book Publishing Record (abpr)	De Gruyter	De Gruyter Online	""	abpr	0306-0322	1865-8717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The B.E. Journal of Economic Analysis & Policy (bejeap)	De Gruyter	De Gruyter Online	""	bejeap	""	1555-0494	7	0	7	0	0	1	2	0	0	1	0	1	1	0	1
The Linguistic Review (tlir)	De Gruyter	De Gruyter Online	""	tlir	0167-6318	1613-3676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Theoretical Linguistics (thli)	De Gruyter	De Gruyter Online	""	thli	0301-4428	1613-4060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trends in Classics (tcs)	De Gruyter	De Gruyter Online	""	tcs	1866-7473	1866-7481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wittgenstein-Studien (wgst)	De Gruyter	De Gruyter Online	""	wgst	1868-7431	1868-7458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zeitschrift für antikes Christentum 
Journal of Ancient Christianity (zach)"	De Gruyter	De Gruyter Online	""	zach	0949-9571	1612-961X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeitschrift für Assyriologie und vorderasiatische Archäologie (zava)	De Gruyter	De Gruyter Online	""	zava	0084-5299	1613-1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeitschrift für celtische Philologie (zcph)	De Gruyter	De Gruyter Online	""	zcph	0084-5302	1865-889X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeitschrift für die Alttestamentliche Wissenschaft (zatw)	De Gruyter	De Gruyter Online	""	zatw	0044-2526	1613-0103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeitschrift für die gesamte Strafrechtswissenschaft (zstw)	De Gruyter	De Gruyter Online	""	zstw	0084-5310	1612-703X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeitschrift für die Neutestamentliche Wissenschaft und die Kunde der älteren Kirche (zntw)	De Gruyter	De Gruyter Online	""	zntw	0044-2615	1613-009X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeitschrift für germanistische Linguistik (zfgl)	De Gruyter	De Gruyter Online	""	zfgl	0301-3294	1613-0626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeitschrift für romanische Philologie (zrph)	De Gruyter	De Gruyter Online	""	zrph	0049-8661	1865-9063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeitschrift für Sprachwissenschaft (zfsw)	De Gruyter	De Gruyter Online	""	zfsw	0721-9067	1613-3706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
